name,address,postal_code,latitude,longitude
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,1.376395,103.843181
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21,569384,1.368331,103.835438
MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867,1.394828,103.90904
MERIDIAN JUNIOR COLLEGE,21 Pasir Ris Street 71,518799,1.376067,103.937002
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,1.375781,103.935197
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive,599986,1.332954,103.782566
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,1.332954,103.782566
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8,658965,1.350343,103.741592
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,1.373864,103.889614
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,1.373518,103.888992
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,1.388713,103.890283
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080,1.391841,103.890834
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1,129956,1.30807,103.769189
NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG,128806,1.319799,103.761213
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,1.330651,103.802221
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,1.350297,103.866494
NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097,1.320943,103.808147
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,1.329973,103.804488
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,1.416055,103.839091
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,1.41924,103.831032
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road,148812,1.299825,103.799953
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,1.30915,103.773605
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149,1.305526,103.917371
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,1.354061,103.956972
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088,1.386881,103.903609
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,1.427616,103.848313
NORTH VIEW SECONDARY SCHOOL,530 YISHUN RING ROAD,768680,1.427923,103.844727
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link,544974,1.382913,103.89588
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081,1.381017,103.899463
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,1.421082,103.845179
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,1.420935,103.840768
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578,1.435827,103.840098
NORTHLIGHT SCHOOL,151 Towner Road,327830,1.320759,103.857696
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive,757622,1.456638,103.813826
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 Clementi Avenue 1,129957,1.307227,103.769412
OASIS PRIMARY SCHOOL,71 Edgefield Plains,828716,1.404288,103.910962
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,1.319773,103.923725
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,1.414902,103.83835
OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622,1.286507,103.837091
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow,544822,1.383744,103.890527
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,1.377331,103.939371
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41,518934,1.372334,103.959377
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,1.372305,103.962479
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21,529400,1.354805,103.948043
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,1.351003,103.884813
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO,536742,1.350731,103.885565
PEI CHUN PUBLIC SCHOOL,16 TOA PAYOH LORONG 7,319320,1.337371,103.85482
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610,1.338081,103.77613
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK,797702,1.390273,103.878474
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,1.315889,103.767747
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094,1.3587,103.870667
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK,575566,1.36613,103.829903
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,1.417009,103.830256
PING YI SECONDARY SCHOOL,61 CHAI CHEE STREET,468980,1.326674,103.920663
PIONEER JUNIOR COLLEGE,21 Teck Whye Walk,688258,1.384627,103.753951
PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076,1.348486,103.694609
PIONEER SECONDARY SCHOOL,21 JURONG WEST STREET 81,649075,1.347373,103.694576
POI CHING SCHOOL,21 TAMPINES STREET 71,529067,1.3582,103.935299
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,1.382254,103.8431
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,1.349481,103.74102
PUNGGOL COVE PRIMARY SCHOOL,52 Sumang Walk,828674,1.408664,103.896275
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk,828772,1.401325,103.897737
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,1.37819,103.894746
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870,1.402069,103.909443
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place,828845,1.405297,103.90518
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,1.312805,103.757141
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,1.442105,103.788557
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,1.296349,103.807958
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD,148800,1.293467,103.812874
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE,149295,1.300681,103.801857
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840,1.275244,103.824119
RAFFLES GIRLS' PRIMARY SCHOOL,21 Hillcrest Road,289072,1.330302,103.806788
RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD,259978,1.31172,103.828974
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE,575954,1.345712,103.845871
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3,469719,1.333361,103.934605
REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5,689621,1.393079,103.750966
RIVER VALLEY HIGH SCHOOL,6 BOON LAY AVENUE,649961,1.343172,103.70949
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993,1.294206,103.836008
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent,737803,1.444971,103.804651
RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81,738524,1.44088,103.788728
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE,545092,1.393196,103.904383
ROSYTH SCHOOL,21 Serangoon North Avenue 4,555855,1.372862,103.874791
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295,1.346187,103.718911
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 Technology Drive,138572,1.313653,103.774264
"SCHOOL OF THE ARTS, SINGAPORE",01 05 1 Zubir Said Drive Admin Office,227968,1.298907,103.84871
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE,757715,1.44497,103.820734
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT,757704,1.445241,103.816996
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166,1.389041,103.899312
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE,545090,1.385933,103.898397
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road,797636,1.392548,103.87539
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1,555889,1.36967,103.868983
SERANGOON JUNIOR COLLEGE,1033 UPPER SERANGOON ROAD,534768,1.365172,103.886996
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW,534237,1.374544,103.902283
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332,1.347595,103.721578
SHUQUN SECONDARY SCHOOL,450 JURONG EAST STREET 21,609604,1.340338,103.739469
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,1.432693,103.78577
SI LING SECONDARY SCHOOL,11 MARSILING LANE,739148,1.444732,103.775019
SIGLAP SECONDARY SCHOOL,10 PASIR RIS DRIVE 10,519385,1.37916,103.939304
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD,309437,1.321253,103.828017
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD,309437,1.321253,103.828017
SINGAPORE SPORTS SCHOOL,1 Champions Way,737913,1.426703,103.789056
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central,689762,1.381324,103.747145
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64,737758,1.429235,103.779312
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link,544799,1.395225,103.890476
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8,529593,1.349409,103.929982
ST. ANDREW'S JUNIOR COLLEGE,5 Sorby Adams Drive,357691,1.333201,103.863195
ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE,359337,1.331468,103.865209
ST. ANDREW'S SECONDARY SCHOOL,15 FRANCIS THOMAS DRIVE,359342,1.331368,103.865853
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,1.334282,103.941072
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,1.334613,103.942216
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32,659401,1.364276,103.749019
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan,556742,1.349363,103.862358
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1,556140,1.346401,103.875825
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3,529706,1.349548,103.936412
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82,528986,1.350082,103.936638
ST. JOSEPH'S INSTITUTION,21 BISHAN STREET 14,579781,1.351244,103.853082
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD,309331,1.317267,103.845562
ST. MARGARET'S PRIMARY SCHOOL,99 WILKIE ROAD,228091,1.304444,103.845851
ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD,259240,1.319577,103.809597
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD,429058,1.30923,103.916644
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW,455789,1.319006,103.917604
STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,1.303878,103.857586
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34,659322,1.364045,103.750416
TAMPINES JUNIOR COLLEGE,2 TAMPINES AVENUE 9,529564,1.357607,103.955857
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565,1.360298,103.948581
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426,1.349774,103.94402
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12,529427,1.348712,103.944485
TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD,127391,1.309698,103.758184
TANJONG KATONG GIRLS' SCHOOL,20 DUNMAN LANE,439272,1.308631,103.895897
TANJONG KATONG PRIMARY SCHOOL,10 SERAYA ROAD,437259,1.305412,103.900309
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD,438796,1.308628,103.897257
TAO NAN SCHOOL,49 MARINE CRESCENT,449761,1.304906,103.911434
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,1.365396,103.850524
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,1.383126,103.753548
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT,688848,1.382536,103.755214
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239,1.331377,103.911059
TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,1.3189,103.935561
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,1.317502,103.945488
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD,465561,1.315759,103.947167
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730,1.359123,103.854452
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268,1.403245,103.74729
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62,689143,1.40005,103.746125
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,1.306142,103.919825
VICTORIA SCHOOL,2 SIGLAP LINK,448880,1.308378,103.927638
WATERWAY PRIMARY SCHOOL,70 Punggol Drive,828802,1.405087,103.908634
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702,1.452297,103.8219
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72,649223,1.34455,103.698987
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road,679946,1.388897,103.766305
WEST SPRING SECONDARY SCHOOL,61 SENJA ROAD,677737,1.387707,103.760018
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742,1.383113,103.760229
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73,649188,1.350942,103.723313
WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25,648350,1.353569,103.701682
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075,1.364903,103.961329
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24,579747,1.355497,103.843265
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL,738079,1.433234,103.790306
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6,738990,1.428068,103.796334
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,1.436771,103.791794
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,1.434839,103.797928
WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD,738239,1.436147,103.800671
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD,739111,1.439565,103.774208
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882,1.357861,103.889918
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91,649036,1.342223,103.688066
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784,1.371069,103.883029
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8,538789,1.372635,103.883077
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21,768611,1.433577,103.837571
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3,556108,1.348506,103.868407
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64,689100,1.396985,103.751221
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,1.377792,103.885447
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,1.377635,103.842103
YISHUN JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,1.424637,103.829634
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,1.434101,103.833896
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71,768516,1.428129,103.828833
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21,768610,1.43231,103.837858
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3,469623,1.333929,103.932513
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD,618654,1.341917,103.720994
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24,609558,1.343263,103.740763
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41,649406,1.347026,103.722405
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21,529393,1.351484,103.951159
YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25,658712,1.342423,103.760309
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1,538884,1.356754,103.890092
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina,169485,1.284578,103.826193
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road,679002,1.37957,103.769301
ZHENGHUA SECONDARY SCHOOL,91 SENJA ROAD,677741,1.388271,103.764939
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4 ZHONGHUA PRIMARY SCHOOL,556095,1.359895,103.869558
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3,556123,1.349457,103.869187
